UTM-X,UTM-Y,X1,X2,X3,X4,Y,LL-X,LL-Y
589865.375,4504694.5,5,1,2,4.8,143.3586957,-73.93647,40.68825
585665.4375,4508192,2,1,1,0,75,-73.98569,40.7202
588225.6875,4502508,3,1,1,4.77,70,-73.95618,40.66873
583597.5,4508128.5,2,1,0,5,110,-74.01018,40.71984
589153.9375,4520953,2,1,1,4.83,113.5326087,-73.94257,40.83477
591145.5,4505266.5,3,1,1,4.26,80.76086957,-73.92124,40.69326
588315.5,4508598.5,4,1,2,4.96,325,-73.95426,40.72358
587742.4375,4500401.5,1,0,1,0,39,-73.96219,40.64981
587845.5,4507985.5,2,1,1,0,90,-73.95991,40.71811
596901.625,4503809.5,2,1,1,0,30,-73.85335,40.67948
584704.5,4511338.5,2,2,1,4.83,119,-73.99664,40.74864
604107.375,4502977.5,2,1,1,4.59,150,-73.76824,40.67111
588035.25,4510716.5,4,2,2,4.9,395,-73.95728,40.74269
585341.3125,4509345,4,1,1,4,245,-73.98937,40.73062
591306,4514458,4,1,2,5,150,-73.918,40.77603
585919.75,4510370,4,1,0,4.72,210,-73.98238,40.73979
588224.625,4504443,6,1,2,4.62,186.4456522,-73.95592,40.68616
588051.5,4517225,2,1,1,4.85,152.0434783,-73.95617,40.80131
589067.75,4522018,3,1,1,4.5,88.5326087,-73.94344,40.84437
588027.0625,4508274,2,1,1,5,89,-73.95772,40.72069
600437.4375,4493337.5,4,1,2,4.71,140,-73.81319,40.58474
588457,4514149,2,1,1,0,219,-73.9518,40.77356
587830.625,4500168.5,3,1,1,4.66,39.20652174,-73.96118,40.6477
588160.8125,4504550,4,1,0,4.95,99.88043478,-73.95666,40.68713
585508.0625,4509458,2,1,1,0,174,-73.98738,40.73162
587992.375,4513826,2,1,1,4.5,119,-73.95735,40.7707
591341.75,4514569.5,5,1,1,4.89,86.65217391,-73.91756,40.77703
585986.375,4509940,2,1,1,5,200,-73.98165,40.73591
586825.5625,4516731,2,1,1,4.83,142.826087,-73.97077,40.79699
588706.25,4507140,1,1,1,4.61,51.4673913,-73.94984,40.7104
595024.875,4511751,1,1,1,4.7,50,-73.87435,40.75123
586095.4375,4513126.5,2,1,1,4.84,125,-73.97992,40.7646
588463.9375,4517871.5,1,1,1,4.86,98.85869565,-73.95119,40.80709
588425.1875,4520263,4,1,1,4.73,90,-73.95131,40.82863
588202.1875,4514283.5,4,1,1,4.5,150,-73.9548,40.7748
590893.1875,4512263.5,1,1,1,4.82,70,-73.92321,40.75631
589704.5625,4504085.5,4,1,0,4.87,140.2173913,-73.93846,40.68278
